Year,Neggs,Nfledged,BS
1952,6081,4220,0.693964808419668
1953,,,
1954,,,
1955,,,
1956,6000,4002,0.667
1957,,,
1958,5714,3491,0.610955547777389
1959,,,
1960,,,
1961,,,
1962,5623,4273,0.759914636315134
1963,6236,5026,0.805965362411802
1964,6000,4098,0.683
1965,5015,3440,0.685942173479561
1966,5800,5000,0.862068965517241
1967,5850,3879,0.663076923076923
1968,5370,3201,0.59608938547486
1969,6083,3984,0.654939996712149
1970,5557,4134,0.743926579089437
1971,5802,4299,0.740951396070321
1972,5994,192,0.032032032032032
1973,,,
1974,5000,3500,0.7
1975,5900,3938,0.667457627118644
1976,4899,3297,0.672994488671157
1977,3563,1435,0.402750491159136
1978,4495,2525,0.561735261401557
1979,3431,2133,0.621684640046634
1980,3465,1625,0.468975468975469
1981,3350,2600,0.776119402985075
1982,2500,700,0.28
1983,2800,1508,0.538571428571429
1984,3119,758,0.243026611093299
1985,3270,2452,0.749847094801223
1986,2520,1633,0.648015873015873
1987,2303,1452,0.630481980026053
1988,3290,2267,0.689057750759878
1989,2963,1472,0.496793790077624
1990,2593,400,0.154261473197069
1991,2671,1600,0.599026581804568
1992,3012,344,0.114209827357238
1993,2540,2057,0.809842519685039
1994,3338,80,0.0239664469742361
1995,3282,488,0.148689823278489
1996,2461,839,0.340918325883787
1997,2906,1347,0.463523743977977
1998,2740,2110,0.77007299270073
1999,3216,2433,0.756529850746269
2000,2798,2110,0.754110078627591
2001,2722,1135,0.416972814107274
2002,2511,1722,0.685782556750299
2003,2941,1150,0.391023461407684
2004,2854,1195,0.418710581639804
2005,3173,2527,0.796407185628742
2006,3361,1395,0.415055043141922
2007,3482,2312,0.663986214819069
2008,3373,2377,0.704713904536021
2009,3401,2538,0.746251102616877
2010,3033,2331,0.768545994065282
2011,3102,2472,0.796905222437137
2012,2903,2428,0.836376162590424
2013,3588,392,0.109253065774805
2014,3903,104,0.0266461696131181
2015,3376,2559,0.757997630331754
2016,4494,1798,0.400089007565643
2017,3762,2826,0.751196172248804
2018,3396,2929,0.862485276796231
2019,3727,3246,0.870941776227529
2020,4083,3701,0.90644134215038
2021,4323,3871,0.895442979412445
