"","X1","X2"
"1",0.552111315493142,11544.0085255025
"2",0.802008683483495,3791.23654762928
"3",0.922427661031613,4190.76793303468
"4",0.851307287675509,1742.89414560341
"5",0.834563456950917,36411.0496533059
"6",0.856102613754476,8319.34341292593
"7",0.861920690659601,1092.97589133681
"8",0.857639481146464,5274.9633399914
"9",0.840412002839348,16106.7690874468
"10",0.80036328378352,7132.17610079788
"11",0.755789204306223,19959.4659306556
"12",0.656869273340599,12820.8048343871
"13",0.541838188037918,3273.93148434638
"14",0.51220534692737,5492.4136860899
"15",0.508674076769235,47712.7895133761
"16",0.440447316424201,421.363241324268
"17",0.323374642036757,35091.9177214699
"18",0.28597830836024,47518.5755475833
"19",0.248366537479405,42727.2832135723
"20",0.249771080366626,46179.9913116414
"21",0.418206183890404,56937.2122706354
"22",0.518698708650462,66935.2816118901
"23",0.555476343956597,56130.9292817469
"24",0.624739835344399,49484.2022880133
"25",0.711154571221623,9180.62981289869
"26",0.748740861081286,28302.3677943145
"27",0.654424927828948,4844.22380163591
"28",0.605223096203141,30190.7058141614
"29",0.545340580349536,5721.47611262888
"30",0.552713156030166,27315.0999416607
"31",0.560281363505789,27821.2808028332
"32",0.43089700389063,6669.67850314798
"33",0.402756866507386,13862.7510200168
"34",0.443656235702373,5864.69625435864
"35",0.392205700520327,6362.39597213087
"36",0.367262411760697,5690.45019521159
"37",0.327866799262958,62729.692740159
"38",0.333202079068791,18392.0896444299
"39",0.445490612031593,40120.8408137959
"40",0.594154763986125,9876.33359233233
"41",0.5460415786106,1292.83872766898
"42",0.566245585712038,18178.6157151354
"43",0.771084233415321,6807.92047678133
"44",0.836388949163211,12405.7595377839
"45",0.833246570825776,5010.90202004998
"46",0.794540864117367,3409.96716550343
"47",0.785941503917469,56150.0608072132
"48",0.781718537149745,630.157147346142
"49",0.759413729164226,1273.54096544388
"50",0.756477858329955,3691.02311267417
"51",0.791811868946323,12574.365688096
"52",0.740596354618642,47188.6423547836
"53",0.716607959278624,10488.6135621123
"54",0.680834438585006,6436.38838174143
"55",0.62723129923362,25196.4775710538
"56",0.633729105009901,10510.2639550794
"57",0.651507746469437,7335.20319277787
"58",0.62731201683968,5063.62473759411
"59",0.481596892853356,10437.2685195059
"60",0.470855936177948,7520.50756046057
"61",0.492739892179568,11151.2238770959
"62",0.412975281163628,5176.93506912717
"63",0.375009290890051,7803.42191954133
"64",0.183587312493276,40622.6713717044
"65",0.0708850839801734,1742.47042683085
"66",0.906803420753577,1285.2729540207
