"N_mean","N_median","N95","N05"
8405.16820802187,8141.73901454521,11533.1386760712,6114.50510651632
6368.53005397674,6176.80036919088,9288.97021999052,4042.74779710471
5660.7330229271,5464.48949095191,8033.70682557825,3924.77657720864
5844.64326170819,5644.92782607883,8404.13071981691,3970.80429224042
6400.03009440883,6206.72302988054,9309.98249876577,4164.6099757449
8428.19622417168,8234.14845798491,11280.1451424313,6260.74563777893
9436.02936565605,9215.85631816525,12645.483031235,6964.54810796555
9049.34170527203,8788.36355463332,13461.9877498055,5543.27523526298
10369.2383937004,9981.45570020273,14782.7377736152,7185.94203044113
10988.666978662,10412.7587460159,18091.9463616331,5881.87495736245
